firstname,lastname,gender,hobbies,street address,landmark,area,city,state,pincode,country
,,,,,,Phupugaon,KORAPUT,Odisha,764002,India
,,,,,,Pindapadar,KORAPUT,Odisha,764028,India
,,,,,,Pipalpadar,KORAPUT,Odisha,765013,India
,,,,,,Pithaguda,KORAPUT,Odisha,764037,India
,,,,,,Podagada,KORAPUT,Odisha,765013,India
,,,,,,Podaghat,MALKANGIRI,Odisha,764046,India
,,,,,,Podapadar,KORAPUT,Odisha,764014,India
,,,,,,Podia,MALKANGIRI,Odisha,764047,India
,,,,,,Pongam,MALKANGIRI,Odisha,764044,India
,,,,,,Populuru,MALKANGIRI,Odisha,764052,India
,,,,,,Porli,KORAPUT,Odisha,764056,India
,,,,,,Porsola,NABARANGAPUR,Odisha,764063,India
,,,,,,Potrel,MALKANGIRI,Odisha,764051,India
,,,,,,Pottangi,KORAPUT,Odisha,764039,India
,,,,,,Prasadraopeta,KORAPUT,Odisha,764003,India
,,,,,,Pujariguda,NABARANGAPUR,Odisha,764063,India
,,,,,,Pujariguda,NABARANGAPUR,Odisha,764070,India
,,,,,,Pujariput,KORAPUT,Odisha,764056,India
,,,,,,Pukali,KORAPUT,Odisha,764039,India
,,,,,,PURUNA CHINTAPALLI.,MALKANGIRI,Odisha,764051,India
,,,,,,R Zone(Sunabeda),KORAPUT,Odisha,763002,India
,,,,,,R.Jaganathpur,NABARANGAPUR,Odisha,764078,India
,,,,,,Raighar,NABARANGAPUR,Odisha,764074,India
,,,,,,Raisingi,KORAPUT,Odisha,764038,India
,,,,,,Rajkote,NABARANGAPUR,Odisha,764077,India
,,,,,,Rajoda,NABARANGAPUR,Odisha,764061,India
,,,,,,Rajput,KORAPUT,Odisha,764036,India
,,,,,,Ralegada,KORAPUT,Odisha,764039,India
,,,,,,Ramgiri,KORAPUT,Odisha,764043,India
,,,,,,Ranaspur,KORAPUT,Odisha,764057,India
,,,,,,Rangamatiguda,NABARANGAPUR,Odisha,764063,India
,,,,,,Raniguda,NABARANGAPUR,Odisha,764056,India
,,,,,,Raniput,KORAPUT,Odisha,764005,India
,,,,,,Ranjiput,KORAPUT,Odisha,764027,India
,,,,,,Rasbeda,MALKANGIRI,Odisha,764046,India
,,,,,,Relageda,MALKANGIRI,Odisha,764052,India
,,,,,,Renga,KORAPUT,Odisha,764036,India
,,,,,,Rondapalli,KORAPUT,Odisha,764002,India
,,,,,,Sadabari,KORAPUT,Odisha,764027,India
,,,,,,Sadam,KORAPUT,Odisha,764039,India
,,,,,,Sadaranga,KORAPUT,Odisha,764058,India
,,,,,,Salimi,MALKANGIRI,Odisha,764044,India
,,,,,,Sambai,KORAPUT,Odisha,764039,India
,,,,,,Sanamasigaon,NABARANGAPUR,Odisha,764063,India
,,,,,,Sanameda,NABARANGAPUR,Odisha,764061,India
,,,,,,Sanparia,KORAPUT,Odisha,764056,India
,,,,,,Saradhapalli,MALKANGIRI,Odisha,764086,India
,,,,,,Saradhapur,NABARANGAPUR,Odisha,764077,India
,,,,,,Sarguli,NABARANGAPUR,Odisha,764074,India
,,,,,,Sasahandi,KORAPUT,Odisha,764056,India
,,,,,,Sector VII(Sunabeda),KORAPUT,Odisha,763002,India
,,,,,,Semiliguda,KORAPUT,Odisha,764036,India
,,,,,,Semla,NABARANGAPUR,Odisha,764071,India
,,,,,,Semlaguda,KORAPUT,Odisha,764057,India
,,,,,,SERPALLI,MALKANGIRI,Odisha,764044,India
,,,,,,Sikhapali,MALKANGIRI,Odisha,764086,India
,,,,,,Simla,KORAPUT,Odisha,764037,India
,,,,,,Simlibamchha,MALKANGIRI,Odisha,764047,India
,,,,,,Sindhigaon,NABARANGAPUR,Odisha,764063,India
,,,,,,Sindhiguda,NABARANGAPUR,Odisha,764063,India
,,,,,,Singisari,NABARANGAPUR,Odisha,764072,India
,,,,,,Sirisi,NABARANGAPUR,Odisha,764071,India
,,,,,,Sirliguda,NABARANGAPUR,Odisha,764073,India
,,,,,,Soguru,KORAPUT,Odisha,764081,India
,,,,,,Somnathpur,MALKANGIRI,Odisha,764046,India
,,,,,,Sonepur,NABARANGAPUR,Odisha,764074,India
,,,,,,Sorada,KORAPUT,Odisha,764039,India
,,,,,,Sorgiguda,KORAPUT,Odisha,764056,India
,,,,,,Sriram Nagar,KORAPUT,Odisha,764001,India
,,,,,,Subai,KORAPUT,Odisha,764037,India
,,,,,,Suku,KORAPUT,Odisha,764021,India
,,,,,,Sunabeda 1,KORAPUT,Odisha,763001,India
,,,,,,Sunabeda 2,KORAPUT,Odisha,763002,India
,,,,,,Sunabeda,NABARANGAPUR,Odisha,764073,India
,,,,,,Sunarbelli (Nuagaon),KORAPUT,Odisha,764058,India
,,,,,,Sunki,KORAPUT,Odisha,764039,India
,,,,,,T.Gumandi,KORAPUT,Odisha,764014,India
,,,,,,T.Padar,KORAPUT,Odisha,764014,India
,,,,,,T.Thuba,KORAPUT,Odisha,764037,India
,,,,,,Talarai,MALKANGIRI,Odisha,764047,India
,,,,,,Tamasa,MALKANGIRI,Odisha,764045,India
,,,,,,Tandabai,MALKANGIRI,Odisha,764087,India
,,,,,,Tandiki,MALKANGIRI,Odisha,764045,India
,,,,,,Tankua,KORAPUT,Odisha,764003,India
,,,,,,Taragaon,NABARANGAPUR,Odisha,764059,India
,,,,,,Taraput,KORAPUT,Odisha,764002,India
,,,,,,Tarlakota,MALKANGIRI,Odisha,764051,India
,,,,,,Temera,NABARANGAPUR,Odisha,764061,India
,,,,,,Temurupali,MALKANGIRI,Odisha,764044,India
,,,,,,Tentuligumma,KORAPUT,Odisha,764043,India
,,,,,,Tentulikhunti,NABARANGAPUR,Odisha,764070,India
,,,,,,Tigal,MALKANGIRI,Odisha,764045,India
,,,,,,Tikarpada,KORAPUT,Odisha,764081,India
,,,,,,Toyaput,KORAPUT,Odisha,765013,India
,,,,,,Tumberla,NABARANGAPUR,Odisha,764071,India
,,,,,,Tumusapalli,MALKANGIRI,Odisha,764045,India
,,,,,,Turia,KORAPUT,Odisha,764039,India
,,,,,,Turudihi,NABARANGAPUR,Odisha,764088,India
,,,,,,Tusuba,KORAPUT,Odisha,764081,India
,,,,,,Udilibeda,MALKANGIRI,Odisha,764044,India
,,,,,,Udupa,MALKANGIRI,Odisha,764045,India
,,,,,,Ukiapalli,KORAPUT,Odisha,764058,India
,,,,,,Umbel,KORAPUT,Odisha,764037,India
,,,,,,Umerkote Bazar,NABARANGAPUR,Odisha,764073,India
,,,,,,Umerkote,NABARANGAPUR,Odisha,764073,India
,,,,,,Umuri,KORAPUT,Odisha,764021,India
,,,,,,Umuri,KORAPUT,Odisha,764002,India
,,,,,,Undrukonda,MALKANGIRI,Odisha,764045,India
,,,,,,Upperdural,MALKANGIRI,Odisha,764042,India
,,,,,,Upperkanti,KORAPUT,Odisha,764036,India
,,,,,,Upperkutinga,KORAPUT,Odisha,765013,India
,,,,,,Ushigaon,NABARANGAPUR,Odisha,764071,India
,,,,,,Venkatpallam,MALKANGIRI,Odisha,764047,India
,,,,,,Wandergada,KORAPUT,Odisha,764038,India
,,,,,,Adasikupa,KANDHAMAL,Odisha,762112,India
,,,,,,Adasipada,KANDHAMAL,Odisha,762029,India
,,,,,,Adenigarh,BOUDH,Odisha,762023,India
,,,,,,Ainlapalli,BOUDH,Odisha,762015,India
,,,,,,Allanjuri,KANDHAMAL,Odisha,762021,India
,,,,,,Ambagaon,BOUDH,Odisha,762018,India
,,,,,,Ambajhari,BOUDH,Odisha,762015,India
,,,,,,Arabaka,KANDHAMAL,Odisha,762010,India
,,,,,,Arakhapadar,BOUDH,Odisha,762020,India
,,,,,,Arapaju,KANDHAMAL,Odisha,762012,India
,,,,,,Badabandha,BOUDH,Odisha,762013,India
,,,,,,Badabanga,KANDHAMAL,Odisha,762104,India
,,,,,,Badabhuin,KANDHAMAL,Odisha,762029,India
,,,,,,Badachhapalli,BOUDH,Odisha,762017,India
,,,,,,Badagaon,KANDHAMAL,Odisha,762103,India
,,,,,,Badangia,KANDHAMAL,Odisha,762104,India
,,,,,,Badhigaon,BOUDH,Odisha,762026,India
,,,,,,Badiketa,BOUDH,Odisha,762015,India
,,,,,,Badimunda,KANDHAMAL,Odisha,762010,India
,,,,,,Baghiabahal,BOUDH,Odisha,762030,India
,,,,,,Baghiapada,BOUDH,Odisha,762026,India
,,,,,,Bahira,BOUDH,Odisha,762015,India
,,,,,,Baikumpa,KANDHAMAL,Odisha,762012,India
,,,,,,Bakingia,KANDHAMAL,Odisha,762101,India
,,,,,,Balakia,KANDHAMAL,Odisha,762110,India
,,,,,,Balakira,BOUDH,Odisha,762015,India
,,,,,,Balanda,BOUDH,Odisha,762013,India
,,,,,,Balandapada,KANDHAMAL,Odisha,762002,India
,,,,,,Balasinga,BOUDH,Odisha,762014,India
,,,,,,Balaskumpa,KANDHAMAL,Odisha,762029,India
,,,,,,Balimusti,KANDHAMAL,Odisha,762109,India
,,,,,,Balligada,KANDHAMAL,Odisha,762102,India
,,,,,,Balliguda,KANDHAMAL,Odisha,762103,India
,,,,,,Balumaha,KANDHAMAL,Odisha,762022,India
,,,,,,Bamanda,BOUDH,Odisha,762024,India
,,,,,,Bamunigaon (Kandhamal),KANDHAMAL,Odisha,762021,India
,,,,,,Bandaguda,KANDHAMAL,Odisha,762106,India
,,,,,,Bandapipili,KANDHAMAL,Odisha,762105,India
,,,,,,Bandha,KANDHAMAL,Odisha,762101,India
,,,,,,Bandhagarh,KANDHAMAL,Odisha,762011,India
,,,,,,Bandhapathar,BOUDH,Odisha,762026,India
,,,,,,Banegaon,KANDHAMAL,Odisha,762106,India
,,,,,,Bapalamendi,KANDHAMAL,Odisha,762027,India
,,,,,,Bapalamendi,KANDHAMAL,Odisha,762010,India
,,,,,,Baragaon,BOUDH,Odisha,762017,India
,,,,,,Baragochha,BOUDH,Odisha,762016,India
,,,,,,Barakhama,KANDHAMAL,Odisha,762110,India
,,,,,,Barapadar,BOUDH,Odisha,762030,India
,,,,,,Bariguda,KANDHAMAL,Odisha,762106,India
,,,,,,Baringi,KANDHAMAL,Odisha,762012,India
,,,,,,Bastingia,KANDHAMAL,Odisha,762010,India
,,,,,,Bataguda,KANDHAMAL,Odisha,762109,India
,,,,,,Batimunda,KANDHAMAL,Odisha,762002,India
,,,,,,Bediketa,KANDHAMAL,Odisha,762103,India
,,,,,,Beheragaon,KANDHAMAL,Odisha,762010,India
,,,,,,Belghar,KANDHAMAL,Odisha,762107,India
,,,,,,Bellapadar,KANDHAMAL,Odisha,762028,India
,,,,,,Beredakia,KANDHAMAL,Odisha,762101,India
,,,,,,Bhandrangi,KANDHAMAL,Odisha,762107,India
,,,,,,Bhejigora,BOUDH,Odisha,762020,India
,,,,,,Bhramarabadi,KANDHAMAL,Odisha,762104,India
,,,,,,Bhrungijodi,KANDHAMAL,Odisha,762011,India
,,,,,,Bilabadi,BOUDH,Odisha,762024,India
,,,,,,Bilamala,KANDHAMAL,Odisha,762107,India
,,,,,,Bilaspur,BOUDH,Odisha,762016,India
,,,,,,Biramchandrapur,BOUDH,Odisha,762024,India
,,,,,,Biranarasinghpur,BOUDH,Odisha,762024,India
,,,,,,Birigarh,BOUDH,Odisha,762026,India
,,,,,,Biringia,KANDHAMAL,Odisha,762109,India
,,,,,,Bisipada,KANDHAMAL,Odisha,762011,India
,,,,,,Boida,KANDHAMAL,Odisha,762029,India
,,,,,,Boudh Court,BOUDH,Odisha,762014,India
,,,,,,Boudhbazar,BOUDH,Odisha,762014,India
,,,,,,Boudhraj,BOUDH,Odisha,762014,India
,,,,,,Boudingia,KANDHAMAL,Odisha,762103,India
,,,,,,Bounsoni,BOUDH,Odisha,762015,India
,,,,,,Brahmanpad,KANDHAMAL,Odisha,762028,India
,,,,,,Brahmanpalli,BOUDH,Odisha,762014,India
,,,,,,Breka,KANDHAMAL,Odisha,762010,India
,,,,,,Budaguda,KANDHAMAL,Odisha,762103,India
,,,,,,Budrukia,KANDHAMAL,Odisha,762103,India
,,,,,,Burangia,KANDHAMAL,Odisha,762103,India
,,,,,,Burbinaju,KANDHAMAL,Odisha,762112,India
,,,,,,Butupalli,BOUDH,Odisha,762014,India
,,,,,,Chahali,KANDHAMAL,Odisha,762028,India
,,,,,,Chakapada,KANDHAMAL,Odisha,762028,India
,,,,,,Chanchedi,KANDHAMAL,Odisha,762101,India
,,,,,,Charada,BOUDH,Odisha,762014,India
,,,,,,Chhatranga,BOUDH,Odisha,762020,India
,,,,,,Contractorpada,KANDHAMAL,Odisha,762002,India
,,,,,,Court Street G Udayagiri,KANDHAMAL,Odisha,762100,India
,,,,,,Dadakangia,KANDHAMAL,Odisha,762109,India
,,,,,,Dadaki,KANDHAMAL,Odisha,762002,India
,,,,,,Dadapada,KANDHAMAL,Odisha,762100,India
,,,,,,Dadingia,KANDHAMAL,Odisha,762101,India
,,,,,,Dahya,BOUDH,Odisha,762015,India
,,,,,,Dakpala,KANDHAMAL,Odisha,762002,India
,,,,,,Dalapada,KANDHAMAL,Odisha,762012,India
,,,,,,Damamunda,BOUDH,Odisha,762016,India
,,,,,,Dandapadar,KANDHAMAL,Odisha,762103,India
,,,,,,Danekbadi,KANDHAMAL,Odisha,762104,India
,,,,,,Dangesiguda,KANDHAMAL,Odisha,762109,India
,,,,,,Dankuni,KANDHAMAL,Odisha,762027,India
,,,,,,Dapalla,BOUDH,Odisha,762030,India
,,,,,,Daringbadiso,KANDHAMAL,Odisha,762104,India
,,,,,,Dasingbadi,KANDHAMAL,Odisha,762104,India
,,,,,,Deegi,KANDHAMAL,Odisha,762101,India
,,,,,,Demingia,KANDHAMAL,Odisha,762103,India
,,,,,,Demisingia,KANDHAMAL,Odisha,762102,India
,,,,,,Devgarh,BOUDH,Odisha,762024,India
,,,,,,Dhadalapada,BOUDH,Odisha,762026,India
,,,,,,Dhalapur,BOUDH,Odisha,762013,India
,,,,,,Dharampur,KANDHAMAL,Odisha,762102,India
,,,,,,Dimbiriguda,KANDHAMAL,Odisha,762011,India
,,,,,,Duguripadi,KANDHAMAL,Odisha,762022,India
,,,,,,Durgapanga,KANDHAMAL,Odisha,762105,India
,,,,,,Dutimendi,KANDHAMAL,Odisha,762012,India
,,,,,,Dutipada,KANDHAMAL,Odisha,762012,India
,,,,,,Fased,BOUDH,Odisha,762018,India
,,,,,,G.Udayagiri,KANDHAMAL,Odisha,762100,India
,,,,,,Gabjore,BOUDH,Odisha,762030,India
,,,,,,Gadaguda,KANDHAMAL,Odisha,762100,India
,,,,,,Gadapur,KANDHAMAL,Odisha,762021,India
,,,,,,Gadiapada,KANDHAMAL,Odisha,762012,India
,,,,,,Gandagaon,KANDHAMAL,Odisha,762019,India
,,,,,,Gandapaju,KANDHAMAL,Odisha,762012,India
,,,,,,Gandisara,KANDHAMAL,Odisha,762012,India
,,,,,,Ganjuguda,KANDHAMAL,Odisha,762029,India
,,,,,,Gardingia,KANDHAMAL,Odisha,762112,India
,,,,,,Gedingia,KANDHAMAL,Odisha,762101,India
,,,,,,Ghantapada,BOUDH,Odisha,762018,India
,,,,,,Ghatiguda,KANDHAMAL,Odisha,762028,India
,,,,,,Gochhapada,KANDHAMAL,Odisha,762002,India
,,,,,,Greenbadi,KANDHAMAL,Odisha,762104,India
,,,,,,Gressingia,KANDHAMAL,Odisha,762100,India
,,,,,,Gudari,KANDHAMAL,Odisha,762012,India
,,,,,,Gudikia,KANDHAMAL,Odisha,762021,India
,,,,,,Gudrikia,KANDHAMAL,Odisha,762101,India
,,,,,,Gudvellipadar,BOUDH,Odisha,762016,India
,,,,,,Gugurumaha,KANDHAMAL,Odisha,762105,India
,,,,,,Gumagarh,KANDHAMAL,Odisha,762029,India
,,,,,,Gumikia,KANDHAMAL,Odisha,762103,India
,,,,,,Gumma,KANDHAMAL,Odisha,762107,India
,,,,,,Gundhani,KANDHAMAL,Odisha,762101,India
,,,,,,Gundribida,BOUDH,Odisha,762023,India
,,,,,,Gundulia,BOUDH,Odisha,762015,India
,,,,,,Gunjibadi,KANDHAMAL,Odisha,762102,India
,,,,,,Guttingia,KANDHAMAL,Odisha,762106,India
,,,,,,Harabhanga,BOUDH,Odisha,762020,India
,,,,,,Hatimunda,KANDHAMAL,Odisha,762021,India
,,,,,,Jagati,BOUDH,Odisha,762014,India
,,,,,,Jajespanga,KANDHAMAL,Odisha,762011,India
,,,,,,Jalespata,KANDHAMAL,Odisha,762107,India
,,,,,,Jamjhari,KANDHAMAL,Odisha,762002,India
,,,,,,Janhapanka,BOUDH,Odisha,762014,India
,,,,,,Jhadrajing,BOUDH,Odisha,762023,India
,,,,,,Jhagadapata,KANDHAMAL,Odisha,762027,India
,,,,,,Jhinjiriguda,KANDHAMAL,Odisha,762021,India
,,,,,,Jhiripani,KANDHAMAL,Odisha,762107,India
,,,,,,Jogindrapur,BOUDH,Odisha,762016,India
,,,,,,Judabali,KANDHAMAL,Odisha,762105,India
,,,,,,Juramunda,BOUDH,Odisha,762015,India
,,,,,,Kachhabali,KANDHAMAL,Odisha,762103,India
,,,,,,Kainjhar,KANDHAMAL,Odisha,762019,India
,,,,,,Kajuri,KANDHAMAL,Odisha,762101,India
,,,,,,Kalinga,KANDHAMAL,Odisha,762022,India
,,,,,,Kamira,BOUDH,Odisha,762014,India
,,,,,,Kampara,BOUDH,Odisha,762015,India
,,,,,,Kanbageri,KANDHAMAL,Odisha,762100,India
,,,,,,Kanjamendi,KANDHAMAL,Odisha,762102,India
,,,,,,Kankala,BOUDH,Odisha,762015,India
,,,,,,Kantamal,BOUDH,Odisha,762017,India
,,,,,,Karadi,BOUDH,Odisha,762024,India
,,,,,,Karanjakata,BOUDH,Odisha,762023,India
,,,,,,Kasabasa,KANDHAMAL,Odisha,762021,India
,,,,,,Kasinipadar,KANDHAMAL,Odisha,762011,India
,,,,,,Kasurbandha,BOUDH,Odisha,762015,India
,,,,,,Katadi,KANDHAMAL,Odisha,762106,India
,,,,,,Kathingia,KANDHAMAL,Odisha,762100,India
,,,,,,Katimaha,KANDHAMAL,Odisha,762010,India
,,,,,,Katringia,KANDHAMAL,Odisha,762002,India
,,,,,,Kattingia,KANDHAMAL,Odisha,762021,India
,,,,,,Kelakata,BOUDH,Odisha,762024,India
,,,,,,Kelapada,KANDHAMAL,Odisha,762011,India
,,,,,,Keredi,KANDHAMAL,Odisha,762029,India
,,,,,,Kerubadi,KANDHAMAL,Odisha,762104,India
,,,,,,Khairmal,BOUDH,Odisha,762016,India
,,,,,,Khajuripada,KANDHAMAL,Odisha,762012,India
,,,,,,Khaliapalli,BOUDH,Odisha,762030,India
,,,,,,Khamankhole,KANDHAMAL,Odisha,762110,India
,,,,,,Khamariapada,BOUDH,Odisha,762014,India
,,,,,,Khandahata,BOUDH,Odisha,762013,India
,,,,,,Kharabhuin,BOUDH,Odisha,762020,India
,,,,,,Khatakhatia,BOUDH,Odisha,762030,India
,,,,,,Khuntabandha,BOUDH,Odisha,762014,India
,,,,,,Khuntiapada,BOUDH,Odisha,762026,India
,,,,,,Kiamunda,KANDHAMAL,Odisha,762011,India
,,,,,,Kirikuti,KANDHAMAL,Odisha,762104,India
,,,,,,Kothagarh,KANDHAMAL,Odisha,762105,India
,,,,,,Krandibali,KANDHAMAL,Odisha,762002,India
,,,,,,Kudupanga,KANDHAMAL,Odisha,762103,India
,,,,,,Kudutuli,KANDHAMAL,Odisha,762102,India
,,,,,,Kultajore,BOUDH,Odisha,762018,India
,,,,,,Kumari,BOUDH,Odisha,762020,India
,,,,,,Kumbharabadi,KANDHAMAL,Odisha,762104,India
,,,,,,Kumbharigaon,KANDHAMAL,Odisha,762021,India
,,,,,,Kurmingia,KANDHAMAL,Odisha,762022,India
,,,,,,Kurtamgarh,KANDHAMAL,Odisha,762109,India
,,,,,,Kusanga,BOUDH,Odisha,762020,India
,,,,,,Kutiguda,KANDHAMAL,Odisha,762105,India
,,,,,,Kutikia,KANDHAMAL,Odisha,762110,India
,,,,,,Lambabadi,KANDHAMAL,Odisha,762012,India
,,,,,,Lamungia,KANDHAMAL,Odisha,762101,India
,,,,,,Lankagada,KANDHAMAL,Odisha,762107,India
,,,,,,Laxmanpur,BOUDH,Odisha,762023,India
,,,,,,Laxmiprasad,BOUDH,Odisha,762014,India
,,,,,,Lethingia,KANDHAMAL,Odisha,762102,India
,,,,,,Linepada,KANDHAMAL,Odisha,762027,India
,,,,,,Lingagarh,KANDHAMAL,Odisha,762100,India
,,,,,,Loisingi,KANDHAMAL,Odisha,762002,India
,,,,,,Lokapada,BOUDH,Odisha,762030,India
,,,,,,Lokebadi,KANDHAMAL,Odisha,762102,India
,,,,,,Luhuringia,KANDHAMAL,Odisha,762112,India
,,,,,,Lunibahal,BOUDH,Odisha,762024,India
,,,,,,Madaguda,KANDHAMAL,Odisha,762105,India
,,,,,,Madhapur,KANDHAMAL,Odisha,762012,India
,,,,,,Madikunda,KANDHAMAL,Odisha,762001,India
,,,,,,Magadangia,KANDHAMAL,Odisha,762106,India
,,,,,,Mahagudi,KANDHAMAL,Odisha,762021,India
,,,,,,Mahallickpada,BOUDH,Odisha,762020,India
,,,,,,Mahasingi,KANDHAMAL,Odisha,762103,India
,,,,,,Majhipada,KANDHAMAL,Odisha,762011,India
,,,,,,Mallickpada,BOUDH,Odisha,762020,India
,,,,,,Mallickpodi,KANDHAMAL,Odisha,762100,India
,,,,,,Mallisahi,BOUDH,Odisha,762014,India
,,,,,,Manamunda,BOUDH,Odisha,762016,India
,,,,,,Mandakia,KANDHAMAL,Odisha,762101,India
,,,,,,Mandalapadar,KANDHAMAL,Odisha,762107,India
,,,,,,Mandasaru,KANDHAMAL,Odisha,762101,India
,,,,,,Mandipanka,KANDHAMAL,Odisha,762021,India
,,,,,,Manikeswar,KANDHAMAL,Odisha,762101,India
,,,,,,Manupalli,BOUDH,Odisha,762015,India
,,,,,,Marjakud,BOUDH,Odisha,762014,India
,,,,,,Marlang,KANDHAMAL,Odisha,762105,India
,,,,,,Masinagora,BOUDH,Odisha,762018,India
,,,,,,Masterpada,KANDHAMAL,Odisha,762001,India
,,,,,,Mathura,BOUDH,Odisha,762024,India
,,,,,,Mediakia,KANDHAMAL,Odisha,762109,India
,,,,,,Melsikia,KANDHAMAL,Odisha,762110,India
,,,,,,Minia,KANDHAMAL,Odisha,762029,India
,,,,,,Minjapanka,KANDHAMAL,Odisha,762021,India
,,,,,,Mruskusahi,KANDHAMAL,Odisha,762010,India
,,,,,,Mundapada,BOUDH,Odisha,762014,India
,,,,,,Mundigarh,KANDHAMAL,Odisha,762107,India
,,,,,,Mundipadar,BOUDH,Odisha,762015,India
,,,,,,Murusundhi,BOUDH,Odisha,762014,India
,,,,,,Muselipanga,KANDHAMAL,Odisha,762011,India
,,,,,,Narayan Prasad,BOUDH,Odisha,762017,India
,,,,,,Nediguda,KANDHAMAL,Odisha,762028,India
,,,,,,Nilungia,KANDHAMAL,Odisha,762100,India
,,,,,,Nuagaon (Kandhamal),KANDHAMAL,Odisha,762102,India
,,,,,,Nuapadar,KANDHAMAL,Odisha,762011,India
,,,,,,Nuapalli,BOUDH,Odisha,762015,India
,,,,,,Nuapalli,BOUDH,Odisha,762018,India
,,,,,,Nuasahi,KANDHAMAL,Odisha,762103,India
,,,,,,Ollenbatch Nagar,KANDHAMAL,Odisha,762001,India
,,,,,,Ora,KANDHAMAL,Odisha,762105,India
,,,,,,Pabingia,KANDHAMAL,Odisha,762011,India
,,,,,,Paburia,KANDHAMAL,Odisha,762112,India
,,,,,,Padangi,KANDHAMAL,Odisha,762106,India
,,,,,,Padarpada,BOUDH,Odisha,762016,India
,,,,,,Paderipada,KANDHAMAL,Odisha,762106,India
,,,,,,Padunbadi,KANDHAMAL,Odisha,762101,India
,,,,,,Paheraju,KANDHAMAL,Odisha,762002,India
,,,,,,Paikadharakote,KANDHAMAL,Odisha,762105,India
,,,,,,Pakanagaon,KANDHAMAL,Odisha,762029,India
,,,,,,Pakari,KANDHAMAL,Odisha,762103,India
,,,,,,Palaspat,BOUDH,Odisha,762014,India
,,,,,,PANGA UPARSHI,Kandhamal,Odisha,762011,India
,,,,,,Pangali,KANDHAMAL,Odisha,762104,India
,,,,,,Parampanga,KANDHAMAL,Odisha,762109,India
,,,,,,Parigada,KANDHAMAL,Odisha,762103,India
,,,,,,Parthamaha,KANDHAMAL,Odisha,762104,India
,,,,,,Pasara,KANDHAMAL,Odisha,762028,India
,,,,,,Penjisahi (TPO 1135),KANDHAMAL,Odisha,762001,India
,,,,,,Petapanga,KANDHAMAL,Odisha,762112,India
,,,,,,Phiringia,KANDHAMAL,Odisha,762011,India
,,,,,,Phulbani Bazar,KANDHAMAL,Odisha,762001,India
,,,,,,Phulbani,KANDHAMAL,Odisha,762001,India
,,,,,,Pikaradi,KANDHAMAL,Odisha,762010,India
,,,,,,Pokhari,KANDHAMAL,Odisha,762002,India
,,,,,,Pokharibandha,KANDHAMAL,Odisha,762110,India
,,,,,,Pukulingia,KANDHAMAL,Odisha,762100,India
,,,,,,Purunakatak,BOUDH,Odisha,762013,India
,,,,,,Pusangia,KANDHAMAL,Odisha,762109,India
,,,,,,R Nuagaon,KANDHAMAL,Odisha,762027,India
,,,,,,Rabingia,KANDHAMAL,Odisha,762110,India
,,,,,,Rabingia,KANDHAMAL,Odisha,762011,India
,,,,,,Raikala,KANDHAMAL,Odisha,762100,India
,,,,,,Raikia,KANDHAMAL,Odisha,762101,India
,,,,,,Raipalli,KANDHAMAL,Odisha,762100,India
,,,,,,Rambhikata,BOUDH,Odisha,762024,India
,,,,,,Ramgarh,BOUDH,Odisha,762013,India
,,,,,,Ranapatuli,KANDHAMAL,Odisha,762012,India
,,,,,,Ranipathar,BOUDH,Odisha,762023,India
,,,,,,Rasimendi,KANDHAMAL,Odisha,762029,India
,,,,,,Ratanga,KANDHAMAL,Odisha,762011,India
,,,,,,Rattingia,KANDHAMAL,Odisha,762100,India
,,,,,,Roxa,BOUDH,Odisha,762015,India
,,,,,,Rudangia,KANDHAMAL,Odisha,762100,India
,,,,,,Rundimahal,BOUDH,Odisha,762030,India
,,,,,,Rupagaon,KANDHAMAL,Odisha,762028,India
,,,,,,Rusibandha,BOUDH,Odisha,762015,India
,,,,,,Rutungia,KANDHAMAL,Odisha,762103,India
,,,,,,Sadingia,KANDHAMAL,Odisha,762011,India
,,,,,,Sagada,BOUDH,Odisha,762016,India
,,,,,,Sainipada,KANDHAMAL,Odisha,762103,India
,,,,,,Sainipadar,KANDHAMAL,Odisha,762002,India
,,,,,,Sakadi,KANDHAMAL,Odisha,762012,India
,,,,,,Sakhipada,KANDHAMAL,Odisha,762011,India
,,,,,,Salaguda,KANDHAMAL,Odisha,762110,India
,,,,,,Salaguda,KANDHAMAL,Odisha,762002,India
,,,,,,Salimagochha,KANDHAMAL,Odisha,762021,India
,,,,,,Salki,BOUDH,Odisha,762026,India
,,,,,,Salkibudaguda,KANDHAMAL,Odisha,762105,India
,,,,,,Samanbadi,KANDHAMAL,Odisha,762103,India
,,,,,,Sampoch,BOUDH,Odisha,762024,India
,,,,,,Sanachhapalli,BOUDH,Odisha,762017,India
,,,,,,Sangadama,KANDHAMAL,Odisha,762021,India
,,,,,,Sangochhapada,BOUDH,Odisha,762015,India
,,,,,,Sangrampur,BOUDH,Odisha,762015,India
,,,,,,Sankarakhole,KANDHAMAL,Odisha,762019,India
,,,,,,Sankulei,BOUDH,Odisha,762020,India
,,,,,,Saramuli,KANDHAMAL,Odisha,762021,India
,,,,,,Sarangada,KANDHAMAL,Odisha,762106,India
,,,,,,Sarkipada,KANDHAMAL,Odisha,762110,India
,,,,,,Sarsara,BOUDH,Odisha,762026,India
,,,,,,Satakhanda,BOUDH,Odisha,762020,India
,,,,,,Sautikia,KANDHAMAL,Odisha,762110,India
,,,,,,Seskajodi,KANDHAMAL,Odisha,762011,India
